Upstream Regulator,Expr Log Ratio,Molecule Type,Predicted Activation State,Activation z-score,p-value of overlap,Target Molecules in Dataset,Mechanistic Network
ursodeoxycholic acid, ,chemical - endogenous mammalian, ,0.218,0.0117,"ABCC3,CYP1A1,NOS2,SPP1", 
sulindac, ,chemical drug, , ,0.0117,"CDKN1A,CYP1A1,DCN,NOS2", 
folic acid, ,chemical - endogenous mammalian, , ,0.0117,"CDKN1A,IGF2,NOS2,PTHLH", 
SP1,-0.313,transcription regulator, ,0.845,0.0117,"CAV1,CDKN1A,CHI3L1,CPLX1,GDF15,GHR,IGF2,ITGAX,KRT18,OLIG2,PDGFB,PLAUR,SLC2A12,SPP1,VWF", 
TET2,-0.194,enzyme, ,-0.447,0.0118,"C5AR1,CA8,CRB1,IFIT2,ITGAX,XYLT1", 
S100A8, ,other, ,0,0.0119,"ADAMTS4,CPM,ELN,H19,ITGB4,NOS2,PTGES", 
trans-hydroxytamoxifen, ,chemical drug, ,0.378,0.0119,"CAV1,CHI3L1,DCN,H2BC21,IFI30,PLK2,PLXDC1", 
CEBPD,-0.333,transcription regulator, , ,0.0121,"CDKN1A,CTSV,CYP1A1,ITGAX,NOS2", 
EFNA1,-0.203,other, ,-1,0.0123,"ITGB4,KRT18,NT5E,PTHLH", 
SGK1,-0.536,kinase, , ,0.0123,"CDKN1A,GRIK2,HES5,LIF", 
triamterene, ,chemical drug, ,1.982,0.0123,"CLDN4,ITGB4,SPP1,TMEM173", 
Ngf, ,group, ,-0.064,0.0123,"CDKN1A,DCX,NOS2,PLAUR", 
IRF8, ,transcription regulator, ,-0.64,0.0126,"CDKN1A,IFI44L,IFIT2,LIF,NOS2,OAS1", 
SP110,-0.023,transcription regulator,Inhibited,-2.449,0.0126,"BST2,IFIT1,LY96,OAS1,OAS3,PERP", 
HOXA10, ,transcription regulator, ,-0.447,0.0126,"ARL4A,CDKN1A,CTSV,KRT18,MFNG,TDO2,TNXB", 
lipoxin A4, ,chemical - endogenous mammalian, , ,0.0126,"CDKN1A,CYP1A1,NOS2", 
LATS2,-0.204,kinase, , ,0.0126,"CDKN1A,CLDN4,KRT18", 
GTF2B,-0.095,transcription regulator, , ,0.0126,"CDKN1A,GHR,H2BC9", 
ACVRL1, ,kinase, , ,0.0126,"CDKN1A,GDF15,PLAUR", 
mercuric chloride, ,chemical toxicant, , ,0.0126,"CDKN1A,NOS2,SPP1", 
PTGER2, ,G-protein coupled receptor, ,0.447,0.0126,"CENPE,NOS2,PTGES,SPP1,THBS1", 
OGA,-0.077,enzyme, ,-1.029,0.0127,"ARHGAP29,CAV1,CDH15,CDKN1A,CRABP1,FBLN1,GADD45G,IGF2,LIF,PTGDS,THBS1,TUBA4A", 
trypsin, ,group, , ,0.0129,"CDKN1A,ELN", 
mir-373, ,microRNA, , ,0.0129,"CSDC2,PTHLH", 
HIF3A,0.326,transcription regulator, , ,0.0129,"EPAS1,PLAUR", 
DOCK2, ,other, , ,0.0129,"PPARGC1A,PRDM16", 
NPPC, ,other, , ,0.0129,"NOS2,XYLT1", 
ATXN3,0.032,peptidase, , ,0.0129,"IFIT1,IFIT2", 
SERPINB5, ,other, , ,0.0129,"CDKN1A,KRT18", 
KRT8, ,other, , ,0.0129,"ITGB4,KRT18", 
CAMKK2,-0.117,kinase, , ,0.0129,"CDKN1A,PPARGC1A", 
polycyclic aromatic hydrocarbons, ,chemical toxicant, , ,0.0129,"ALDH3A1,CYP1A1", 
KT5720, ,chemical - kinase inhibitor, , ,0.0129,"NOS2,OXTR", 
KT5823, ,chemical - kinase inhibitor, , ,0.0129,"NOS2,PLAUR", 
maxacalcitol, ,chemical drug, , ,0.0129,"ACP5,PTHLH", 
levothyroxine, ,chemical - endogenous mammalian, ,-0.927,0.013,"ACP5,CDKN1A,GDF15,SFRP2", 
ADRB, ,group, ,-1.353,0.013,"ADAMTS4,CDKN1A,GDF15,NOS2,PDGFB,PPARGC1A", 
SYVN1,0.249,transporter, ,1.633,0.013,"ABCC3,AMOTL2,IRAK2,ITGB4,MYOF,SLC43A2", 
Mek, ,group, ,-0.072,0.0131,"ASCL1,CD200,CDKN1A,EPAS1,GDF15,PPARGC1A,TFAP2C,THBS1", 
TFAP2A,-0.414,transcription regulator, ,1.003,0.0131,"ALCAM,CDKN1A,GPR37,IGF2,PLAUR", 
TCR, ,complex, ,-0.271,0.0135,"CD200,GADD45G,IFI44L,IFIT1,IFIT2,NRP1,OAS1,SERPINA3,SPP1,TBX21,TNFRSF1B", 
pelargonidin, ,chemical - endogenous non-mammalian, , ,0.0135,CYP1A1, 
3-hydroxy-3-methylglutaryl-coenzyme A, ,chemical - endogenous mammalian, , ,0.0135,NOS2, 
6-thioguanylic acid, ,chemical reagent, , ,0.0135,PTHLH, 
beta-escin, ,chemical reagent, , ,0.0135,CDKN1A, 
nicotinamide-beta-riboside, ,chemical - endogenous mammalian, , ,0.0135,PPARGC1A, 
Synuclein, ,group, , ,0.0135,LRRK2, 
D-cysteine, ,chemical - endogenous non-mammalian, , ,0.0135,NOS2, 
Becn2, ,other, , ,0.0135,CNR1, 
Has, ,group, , ,0.0135,CCN4, 
"2,2',4,4',5,5'-hexabromodiphenyl ether", ,chemical reagent, , ,0.0135,CYP1A1, 
"5,7-dimethoxyflavone", ,chemical - endogenous mammalian, , ,0.0135,CYP1A1, 
DE 71, ,chemical reagent, , ,0.0135,CYP1A1, 
AMG-9810, ,chemical reagent, , ,0.0135,PPARGC1A, 
acridine half-mustard, ,chemical toxicant, , ,0.0135,ANTXR2, 
HCG11, ,other, , ,0.0135,CDKN1A, 
Ces1b/Ces1c, ,enzyme, , ,0.0135,GHR, 
LINC00475, ,other, , ,0.0135,CDKN1A, 
TOX2,0.496,transcription regulator, , ,0.0135,TBX21, 
Tug1, ,other, , ,0.0135,PPARGC1A, 
LMTK3,0.014,kinase, , ,0.0135,HSPB8, 
MCAT,0.09,enzyme, , ,0.0135,LY96, 
TSPAN10,-0.343,other, , ,0.0135,CDH5, 
KLHL17,-0.193,other, , ,0.0135,GRIK2, 
ARMC10,-0.19,other, , ,0.0135,CDKN1A, 
FKBPL,0.149,other, , ,0.0135,CDKN1A, 
ARHGAP24, ,other, , ,0.0135,ITGB4, 
EBF4,0.154,transcription regulator, , ,0.0135,CDKN1A, 
CXXC1,0.025,transcription regulator, , ,0.0135,CDKN1A, 
ZBTB7C, ,transcription regulator, , ,0.0135,CDKN1A, 
TSPAN5,0.118,other, , ,0.0135,CDH5, 
ZBTB8A,-0.186,other, , ,0.0135,CDKN1A, 
TSPAN14,-0.16,other, , ,0.0135,CDH5, 
harman, ,chemical - endogenous non-mammalian, , ,0.0135,CYP1A1, 
TSPAN15,-0.176,other, , ,0.0135,CDH5, 
PCLAF,0.528,other, , ,0.0135,CDKN1A, 
8-prenylkaempferol, ,chemical - endogenous non-mammalian, , ,0.0135,NOS2, 
7-bromoindirubin-3'-oxime, ,chemical - kinase inhibitor, , ,0.0135,CDKN1A, 
inolitazone, ,chemical drug, , ,0.0135,CDKN1A, 
OSTN, ,other, , ,0.0135,PPARGC1A, 
LSM10,0.097,other, , ,0.0135,H1-2, 
CABLES1,-0.256,other, , ,0.0135,CDKN1A, 
AHRR,-0.062,transcription regulator, , ,0.0135,CYP1A1, 
CDT1,0.855,other, , ,0.0135,CDKN1A, 
ACVR2B,-0.36,kinase, , ,0.0135,CDKN1A, 
NTNG2,0.305,other, , ,0.0135,LRRC4, 
iothalamate meglumine, ,chemical drug, , ,0.0135,NOS2, 
SNAP91, ,other, , ,0.0135,BST2, 
miR-523-3p (miRNAs w/seed AACGCGC), ,mature microRNA, , ,0.0135,CDKN1A, 
miR-331-5p (and other miRNAs w/seed UAGGUAU), ,mature microRNA, , ,0.0135,PLAUR, 
miR-24-1-5p (and other miRNAs w/seed GCCUACU), ,mature microRNA, , ,0.0135,SLITRK1, 
6-shogaol, ,chemical - endogenous non-mammalian, , ,0.0135,NOS2, 
ZBTB5,0.049,transcription regulator, , ,0.0135,CDKN1A, 
DHX8,0.192,enzyme, , ,0.0135,CDKN1A, 
SLC30A9,0.033,transporter, , ,0.0135,CYP1A1, 
GPRASP1,0.353,transporter, , ,0.0135,CNR1, 
DNASE1L3, ,enzyme, , ,0.0135,CDKN1A, 
CCNI,-0.246,other, , ,0.0135,CDKN1A, 
NAPB,-0.078,transporter, , ,0.0135,CYP1A1, 
FXYD1,0.853,ion channel, , ,0.0135,CDKN1A, 
PPP1R3A, ,phosphatase, , ,0.0135,THBS1, 
TSPAN17,-0.357,enzyme, , ,0.0135,CDH5, 
ING3,-0.164,other, , ,0.0135,CDKN1A, 
ATP1B3,0.06,transporter, , ,0.0135,BST2, 
JADE1,-0.277,transcription regulator, , ,0.0135,CDKN1A, 
ralimetinib, ,chemical drug, , ,0.0135,SPP1, 
UBE2E1,-0.241,enzyme, , ,0.0135,CDKN1A, 
CUL9,0.285,other, , ,0.0135,CDKN1A, 
ADCY3,-0.065,enzyme, , ,0.0135,NRP1, 
leukadherin 1, ,chemical reagent, , ,0.0135,NOS2, 
CAV2,-0.403,other, , ,0.0135,CAV1, 
SCML2,-0.047,transcription regulator, , ,0.0135,CDKN1A, 
IFITM3,0.249,other, , ,0.0135,SPP1, 
LMO3, ,other, , ,0.0135,ASCL1, 
TCHH, ,other, , ,0.0135,NOS2, 
PRR13,0.125,other, , ,0.0135,THBS1, 
TDP-665759, ,chemical reagent, , ,0.0135,CDKN1A, 
NF-kappaB inhibitor, ,chemical drug, , ,0.0135,NOS2, 
xanthotoxol, ,chemical - endogenous non-mammalian, , ,0.0135,NOS2, 
SB202474, ,chemical - kinase inhibitor, , ,0.0135,CYP1A1, 
BMS-275183, ,chemical drug, , ,0.0135,THBS1, 
chlorpheniramine, ,chemical drug, , ,0.0135,NOS2, 
diethylthiocarbamate, ,chemical reagent, , ,0.0135,NOS2, 
sterigmatocystin, ,chemical toxicant, , ,0.0135,CYP1A1, 
diisopropanolnitrosamine, ,chemical toxicant, , ,0.0135,CDKN1A, 
satraplatin, ,chemical drug, , ,0.0135,SFRP2, 
PD173955, ,chemical - kinase inhibitor, , ,0.0135,PLAUR, 
pyrazinamide, ,chemical drug, , ,0.0135,LY96, 
oxodiperoxo(pyridine-2-carboxylate)vanadate(V), ,chemical reagent, , ,0.0135,NOS2, 
NSC 126405, ,chemical reagent, , ,0.0135,CDKN1A, 
ethyl vanillin, ,chemical reagent, , ,0.0135,NOS2, 
thiabendazole, ,chemical drug, , ,0.0135,CYP1A1, 
benznidazole, ,chemical drug, , ,0.0135,NOS2, 
naphthalene-1-2-dione, ,chemical toxicant, , ,0.0135,CYP1A1, 
"trans-7,8-dihydroxy-7,8-dihydrobenzo(a)pyrene", ,chemical toxicant, , ,0.0135,CYP1A1, 
anthracene, ,chemical toxicant, , ,0.0135,CYP1A1, 
"2-amino-3-methylimidazo(4,5-f)quinoline", ,chemical toxicant, , ,0.0135,CYP1A1, 
N-(2-guanidinoethyl)-5-isoquinolinesulfonamide, ,chemical - kinase inhibitor, , ,0.0135,ALDH3A1, 
FGFR3-TACC3, ,fusion gene/product, , ,0.0135,PPARGC1A, 
18-hydroxy-retinoic acid, ,chemical - endogenous mammalian, , ,0.0135,ITGAX, 
MHY1485, ,chemical reagent, , ,0.0135,PPARGC1A, 
ethambutol, ,chemical drug, , ,0.0135,LY96, 
CE-2072, ,chemical reagent, , ,0.0135,NOS2, 
cytisine, ,chemical drug, , ,0.0135,FOSB, 
(S)-norcoclaurine, ,chemical - endogenous non-mammalian, , ,0.0135,NOS2, 
harmaline, ,chemical drug, , ,0.0135,CYP1A1, 
metaproterenol sulfate, ,chemical drug, , ,0.0135,NOS2, 
tyrphostin AG 1288, ,chemical - kinase inhibitor, , ,0.0135,NOS2, 
oleoyl-coenzyme A, ,chemical - endogenous mammalian, , ,0.0135,SHBG, 
acyl-coenzyme A, ,chemical - endogenous mammalian, , ,0.0135,NOS2, 
fumagillin, ,chemical - endogenous non-mammalian, , ,0.0135,CAV1, 
6-thioguanosine, ,chemical reagent, , ,0.0135,PTHLH, 
estramustine, ,chemical drug, , ,0.0135,CYP1A1, 
KDM3A,-0.068,transcription regulator, , ,0.0136,"ALCAM,GDF15,TNXB", 
TANK,0.202,other, , ,0.0136,"IFIT1,NOS2,PLAAT4", 
CD4, ,transmembrane receptor, , ,0.0136,"NOS2,SHC1,TBX21", 
FGFR3,-0.262,kinase, , ,0.0136,"CDKN1A,DLL1,SPP1", 
GNB2,0.024,enzyme, , ,0.0136,"CDKN1A,FOSB,PLK2", 
FST,0.665,other, ,0.011,0.0136,"GPAT3,LIF,PPARGC1A,PRDM16", 
silibinin, ,chemical drug, , ,0.0136,"CDKN1A,KRT18,NOS2,PLAUR", 
"3,3'-diindolylmethane", ,chemical drug, ,0.934,0.0136,"CDKN1A,GDF15,IFIT1,NOS2", 
NGF, ,growth factor, ,0.374,0.0138,"ASCL1,CAV1,CDKN1A,EPAS1,IGF2,PLAUR,PLK2,SHC1", 
palmitic acid, ,chemical - endogenous mammalian,Activated,2.022,0.0138,"CDKN1A,CNR1,GDF15,IRAK2,NOS2,NPAS4,PPARGC1A,TMEM173", 
CAV1,1.126,transmembrane receptor, , ,0.0138,"ADAMTS4,CAV1,CDKN1A,KRT18,NOS2,THBS1", 
TICAM1,0.447,other, ,0.972,0.0138,"APOBEC3B,EDNRB,GDF15,ICOSLG/LOC102723996,IFIT1,IFIT2", 
fenamic acid, ,chemical reagent, ,1.982,0.0143,"CLDN4,ITGB4,SPP1,TMEM173", 
EGR1,-0.284,transcription regulator, ,1.432,0.0144,"CAV1,CDKN1A,GDF15,IGF2,PTGES,SPP1,THBS1", 
CASZ1,0.321,enzyme, , ,0.0146,"MYOF,TNFRSF1B,XYLT1", 
NQO1,0.483,enzyme, , ,0.0146,"C5AR1,CDKN1A,NOS2", 
tempol, ,chemical drug, , ,0.0146,"NOS2,PLAUR,SPP1", 
IL27, ,cytokine, ,-0.091,0.0147,"BST2,GADD45G,NOS2,OAS1,PLAAT4,TBX21", 
Ahr-aryl hydrocarbon-Arnt, ,complex, , ,0.0149,"CDKN1A,CYP1A1", 
Ptprd, ,phosphatase, , ,0.0149,"CDKN1A,GADD45G", 
IFNA10, ,cytokine, , ,0.0149,"IFIT1,PLAAT4", 
IFNA21, ,cytokine, , ,0.0149,"IFIT1,PLAAT4", 
IFNA5, ,cytokine, , ,0.0149,"IFIT1,PLAAT4", 
Collagen Alpha1, ,group, , ,0.0149,"CDKN1A,PLAUR", 
PECAM1, ,other, , ,0.0149,"CDH5,THBS1", 
PSMB10,0.355,peptidase, , ,0.0149,"NOS2,TBX21", 
IFNA7, ,cytokine, , ,0.0149,"IFIT1,PLAAT4", 
PTBP1,-0.127,enzyme, , ,0.0149,"NOS2,SERPINA3", 
COX4I1,0.027,enzyme, , ,0.0149,"MMP16,SFRP2", 
IFNA14, ,cytokine, , ,0.0149,"IFIT1,PLAAT4", 
SAT1,0.513,enzyme, , ,0.0149,"CDKN1A,PPARGC1A", 
IFNA6, ,cytokine, , ,0.0149,"IFIT1,PLAAT4", 
BMX, ,kinase, , ,0.0149,"PPARGC1A,TNFRSF1B", 
GTF2I,-0.008,transcription regulator, , ,0.0149,"CDKN1A,THBS1", 
RALA,-0.106,enzyme, , ,0.0149,"CDKN1A,PLAUR", 
TFAP2B, ,transcription regulator, , ,0.0149,"EPAS1,IGF2", 
DMH1, ,chemical reagent, , ,0.0149,"CAV1,NOS2", 
manganese, ,chemical - endogenous mammalian, , ,0.0149,"C5AR1,CDKN1A", 
MAVS,0.272,other, ,1.977,0.015,"IFIT1,IFIT2,OAS1,SPP1", 
lipoteichoic acid, ,chemical - endogenous non-mammalian, , ,0.015,"ANTXR2,NOD2,NOS2,SLC16A3", 
NR3C1,0.145,ligand-dependent nuclear receptor, ,-1.457,0.0154,"AMIGO2,APOL3,CARD14,CAV1,CDKN1A,GLIPR1,IFIT2,LIF,NOD2,NOS2,PAK6,PLK2,SPP1,THBS1,TNFAIP2,TNFRSF1B,TUBA4A", 
Ige, ,complex, ,1.929,0.0156,"ADAMTSL4,CAV1,CDKN1A,GDF15,ITGAX,LIF,NRP1,PDGFB,SPP1,TNFRSF1B", 
PRKAA1,-0.098,kinase, ,1.387,0.0156,"CDKN1A,GHR,H2BC21,MMP16,PPARGC1A,TNS1", 
PTGER4, ,G-protein coupled receptor, ,-1.671,0.0156,"ADAMTS4,IFIT2,NOS2,PDGFB,RASSF2,SPP1", 
CDX2, ,transcription regulator, ,0.737,0.0156,"ALDH3A1,CAV1,CDKN1A,DLL1,ITGB4,SYNPO", 
PRC2, ,complex, , ,0.0157,"OAS1,OLIG1,OLIG2", 
NSUN6,0.079,enzyme, , ,0.0157,"AMOTL2,THBS1,TNS1", 
GNB1,-0.188,enzyme, , ,0.0157,"CDKN1A,FOSB,PLK2", 
22(R)-hydroxycholesterol, ,chemical - endogenous mammalian, , ,0.0157,"APOC1,HAS3,NOS2", 
lysophosphatidylcholine, ,chemical - other, , ,0.0158,"NOD2,NOS2,PLAUR,PLP1", 
ID1, ,transcription regulator, ,-1.987,0.0158,"CDKN1A,IGF2,PPARGC1A,THBS1", 
E. coli B4 lipopolysaccharide, ,chemical toxicant, ,1.122,0.0158,"FOSB,GADD45G,GLIPR1,HSPB8,INPP5D,NOS2,PLAUR,PTGES,TNFRSF1B", 
Mapk, ,group, , ,0.0158,"CDKN1A,CLDN4,NOS2,OLIG2,SPP1", 
mir-8, ,microRNA, ,-0.57,0.016,"AMOTL2,CDKN1A,FAT2,MYOF,PAK6,PERP,PTHLH", 
CpG oligonucleotide, ,chemical drug, ,1.977,0.0161,"ICOSLG/LOC102723996,INPP5D,ITGAX,NOS2,PTGES,THBS1", 
IL13, ,cytokine, ,1.212,0.0163,"CHI3L1,CTSV,EPAS1,NOS2,PPARGC1A,PTGES,RAB33A,SPP1,THBS1,TNFRSF1B,TNS1,TNXB", 
NR1I3, ,ligand-dependent nuclear receptor,Activated,2.186,0.0164,"ABCC3,CCN4,CDKN1A,TNFAIP2,TUBA4A", 
N-acetyl-L-cysteine, ,chemical drug, ,-1.865,0.0166,"CAV1,CDKN1A,CHRNA9,LY96,NOS2,PLAUR,PPARGC1A,SPP1", 
rifampin, ,chemical drug, ,1.131,0.0166,"ABCC3,ATP10B,CYP1A1,LY96,NOS2,SPP1", 
EIF3E,-0.07,other, , ,0.0168,"EPAS1,SHC1,THBS1", 
carbamylcholine, ,chemical drug, , ,0.0168,"CDKN1A,NOS2,PTHLH", 
propranolol, ,chemical drug, , ,0.0168,"CYP1A1,NOS2,PPARGC1A", 
histone deacetylase, ,complex, , ,0.0168,"PPARGC1A,SSTR2,THBS1", 
POU4F1, ,transcription regulator, ,1.117,0.017,"CDKN1A,CRABP1,KCNIP1,OLIG1,VSTM2A", 
cyclic GMP, ,chemical - endogenous mammalian, , ,0.0171,"CDKN1A,PPARGC1A", 
FNDC5,-0.661,other, , ,0.0171,"PRDM16,SPP1", 
TAP1,0.003,transporter, , ,0.0171,"IFIT1,OAS1", 
CDH2,-0.217,other, , ,0.0171,"CDH5,CDKN1A", 
PNN,-0.161,other, , ,0.0171,"CDKN1A,GDF15", 
PTN,0.015,growth factor, , ,0.0171,"COL9A1,DLK1", 
IFNA8, ,cytokine, , ,0.0171,"IFIT1,PLAAT4", 
KIF1B,-0.069,transporter, , ,0.0171,"ASCL1,EPAS1", 
IFNA16, ,cytokine, , ,0.0171,"IFIT1,PLAAT4", 
ENPP2, ,enzyme, , ,0.0171,"PPARGC1A,PRDM16", 
ECM1,0.503,transporter, , ,0.0171,"ADAMTS7,PTHLH", 
dexmedetomidine, ,chemical drug, , ,0.0171,"FOSB,NOS2", 
N-ethyl-N-nitrosourea, ,chemical toxicant, , ,0.0171,"CDKN1A,SPP1", 
1-naphthylisothiocyanate, ,chemical toxicant, , ,0.0171,"ABCC3,NOS2", 
zinc protoporphyrin IX, ,chemical - endogenous mammalian, , ,0.0171,"CDKN1A,NOS2", 
N-carbobenzyloxy-leucine-leucine-norvalinal, ,chemical - protease inhibitor, , ,0.0171,"EPAS1,NOS2", 
leupeptin, ,chemical - protease inhibitor, , ,0.0171,"CAV1,IGF2", 
asiatic acid, ,chemical reagent, , ,0.0171,"CDKN1A,PPARGC1A", 
JAK2,-0.257,kinase, , ,0.0171,"CDKN1A,CPLX2,NOS2,PLK2,RIPPLY3,THBS1", 
ERBB2,-0.138,kinase, ,-0.622,0.0174,"CDKN1A,CENPE,CLDN4,DLL1,GHR,H19,HSPB8,IGF2,MFNG,MMP16,NOS2,NRP1,PLAUR,PTGES,SERPINA3,TFAP2C,THBS1,VWF", 
indomethacin, ,chemical drug, ,0.691,0.0177,"CDKN1A,CLDN4,GDF15,ITGB4,NOS2,PLAUR,PTGES,SPP1", 
POU5F1, ,transcription regulator, ,1.06,0.0177,"ASCL1,CDKN1A,FRZB,GADD45G,H19,KRT18,NRP1,OLIG2,PPL,SPP1", 
IL5, ,cytokine, ,1.463,0.0178,"ACP5,CDKN1A,GADD45G,IFI30,NOS2,RIPOR2,SEMA4A,SLC16A3,ZNF25", 
TLR7/8, ,group, , ,0.0179,"LINC-PINT,PLAUR,REPS2", 
H-7, ,chemical - kinase inhibitor, , ,0.0179,"ALDH3A1,CYP1A1,IFIT2", 
eflornithine, ,chemical drug, , ,0.0179,"CDKN1A,ITGAX,SHC1", 
PAX3, ,transcription regulator, , ,0.0182,"BST2,CDKN1A,CNR1,PTHLH,PTPN3,RASSF2,RLBP1", 
Akt, ,group, ,1.125,0.0182,"AMOT,CDKN1A,EPAS1,IGF2,NOS2,PPARGC1A,PRDM16,SPP1,THBS1", 
metribolone, ,chemical reagent, ,0.963,0.0182,"ADRB1,CDKN1A,FLVCR2,GADD45G,GDF15,ITGB4,KRT18,NOS2,SLC16A3,SPON2,SVIL,THBS1", 
bisindolylmaleimide I, ,chemical - kinase inhibitor, ,-1.423,0.0183,"CDKN1A,GDF15,KCNJ11,OXTR,PTGDS", 
IL4, ,cytokine, ,0.802,0.0184,"ACP5,C5AR1,CD200,CD8A,CDKN1A,EPAS1,FOSB,GADD45G,ICOSLG/LOC102723996,IFI30,IFI44L,ITGAX,LIF,MYOF,NOS2,NRP1,OAS3,PPARGC1A,PTHLH,SEMA4A,SPP1,TBX21", 
methotrexate, ,chemical drug, ,1.254,0.0185,"CDKN1A,CTSV,EPAS1,LY96,MAP2K6,NOS2,SPP1,THBS1", 
TREM1, ,transmembrane receptor, ,0.478,0.0186,"IFIT2,ITGAX,LIF,NOD2,NT5E,SPP1,THBS1", 
BTNL2, ,transmembrane receptor, ,-1,0.0189,"NT5E,PLXDC1,PRXL2A,TNFRSF1B", 
NEUROG3, ,transcription regulator, ,-0.152,0.0189,"CTSV,DLL1,NRP1,OLIG1", 
ADAM12,0.243,peptidase, ,-0.849,0.0189,"DCN,GDF15,SFRP2,VWF", 
NTRK2,0.133,kinase, , ,0.0189,"CDKN1A,NOS2,SPP1,THBS1", 
L-glutamic acid, ,chemical - endogenous mammalian, ,1.231,0.0189,"CDKN1A,DLK1,FOSB,NOS2,PPARGC1A", 
ATP, ,chemical - endogenous mammalian, ,0.518,0.0189,"CD200,NOS2,NRP1,THBS1,TNFRSF1B", 
KIT, ,transmembrane receptor, , ,0.0189,"IFIT2,ITGAX,LIF,SHC1,SPP1", 
CREBBP,-0.126,transcription regulator, ,1.016,0.0191,"CDH5,CDKN1A,CRISPLD2,DCX,FOSB,H2AW,NOS2,OAS3,PPARGC1A,SERPINA3,TBX19", 
DMP1, ,other, , ,0.0191,"CDH5,CSDC2,SPP1", 
PTGS1,0.098,enzyme, , ,0.0191,"NOS2,OXTR,PTGES", 
NFIB,-0.217,transcription regulator, , ,0.0191,"ADAMTSL4,NT5E,TNS1", 
PAX5-ELN, ,fusion gene/product, , ,0.0191,"EPAS1,JHY,PLK2", 
cyclopamine, ,chemical reagent, , ,0.0191,"CDKN1A,OLIG2,SPP1", 
ribavirin, ,chemical drug, , ,0.0191,"APOBEC3B,IFI44L,IFIT2", 
IL33, ,cytokine, ,0,0.0193,"ALDH3A1,EPAS1,ITGB4,NOS2,NT5E,PDGFB,TNFAIP2,TNFRSF1B", 
epothilone B, ,chemical drug, , ,0.0194,"CDKN1A,THBS1", 
PURA,-0.039,transcription regulator, , ,0.0194,"CDKN1A,ITGAX", 
KLF9,0.513,transcription regulator, , ,0.0194,"ACP5,GHR", 
PFKFB3,0.168,kinase, , ,0.0194,"EPAS1,PDGFB", 
NEUROG2, ,transcription regulator, , ,0.0194,"DCX,DLL1", 
mir-194, ,microRNA, , ,0.0194,"PLAUR,THBS1", 
NKX6-1, ,transcription regulator, , ,0.0194,"ARX,POU3F4", 
PIM2,0.06,kinase, , ,0.0194,"PPARGC1A,TBX21", 
RCOR1,0.096,transcription regulator, , ,0.0194,"NOS2,SCN1A", 
NDN, ,transcription regulator, , ,0.0194,"CDKN1A,DLK1", 
RHOB,0.441,enzyme, , ,0.0194,"CDKN1A,NOS2", 
concanamycin A, ,chemical drug, , ,0.0194,"BST2,NOS2", 
hyaluronic acid, ,chemical - endogenous mammalian, ,1.472,0.0196,"LY96,NOS2,PTGES,PTHLH,SPP1", 
EPO, ,cytokine,Activated,2.414,0.0196,"AOC2,CDKN1A,ERFE,FOSB,GDF15,IGF2,SPP1,TFAP2C,VWF", 
ZEB1,-0.389,transcription regulator, , ,0.0198,"ITGB4,KRT18,OAS1,RBM47", 
minocycline, ,chemical drug, ,-0.313,0.0198,"ITGAX,NOS2,PDGFB,TNFRSF1B", 
IRF3,0.378,transcription regulator,Activated,2.074,0.02,"APOBEC3B,IFIT1,IFIT2,NOS2,OAS1,OAS3,TFAP2C", 
TGFB2,0.058,growth factor, ,0.714,0.0202,"CDH5,NOS2,PTHLH,SPP1,THBS1", 
alitretinoin, ,chemical drug, ,1.289,0.0203,"ABCC3,ADAMTS4,CDKN1A,CPM,PPARGC1A,SPP1", 
cyclosporin A, ,biologic drug, ,1.749,0.0203,"CAV1,CD200,CDKN1A,CLDN4,EDNRB,FOSB,ITGB4,NOS2,PERP,PTHLH,SPP1,TBX21", 
ACKR2, ,G-protein coupled receptor, , ,0.0204,"IFIT2,OAS1,OAS3", 
H2AX,-0.339,transcription regulator, , ,0.0204,"NOS2,PPARGC1A,SFRP2", 
SELPLG, ,other, , ,0.0204,"APOL3,CDKN1A,PLAUR", 
retinoid, ,chemical drug, , ,0.0204,"CDKN1A,PLAAT4,RPE65", 
trichostatin A, ,chemical drug, ,0.775,0.0204,"AMOT,CAMSAP3,CDKN1A,CYP1A1,DHRS2,FBLN1,FRZB,GADD45G,GHR,IPCEF1,MYOF,NOS2,NRP1,OXTR,PLK2,SHC1,SPP1,THBS1,TNFAIP2,VWF", 
PLG, ,peptidase, , ,0.0206,"CAV1,EDNRB,NOS2,RLBP1", 
epinephrine, ,chemical - endogenous mammalian, , ,0.0206,"CDKN1A,DLK1,ERFE,PPARGC1A", 
DICER1,-0.049,enzyme, ,-0.186,0.0208,"CDKN1A,CRYM,DHRS2,H19,IGF2,ITGAX,OAS1,SYNPO,THBS1", 
BTK, ,kinase, ,0.6,0.0209,"CDKN1A,IFI44L,IFIT1,ITGAX,OAS3", 
losartan potassium, ,chemical drug, ,-0.64,0.0209,"CAV1,NOS2,PTHLH,SPP1,TBX21", 
arsenite, ,chemical toxicant, , ,0.0209,"ALDH3A1,CAV1,CDKN1A,CYP1A1,THBS1", 
CEBPA,0.154,transcription regulator,Activated,2.547,0.0209,"ASCL1,CDKN1A,CHI3L1,GLIPR1,ITGAX,NRP1,OXTR,PPARGC1A,PPL,PTPN3,SPP1,THBS1", 
